Cuenta;Nombre;Naturaleza;Tercero;Auxiliar;C. Costo
250515;AUXILIO DE TRANSPORTE                   ;C;S;S;N
2510;CESANTIAS CONSOLIDADAS                  ;C;S;N;N
251001;CESANTIAS CONSOLIDADAS                  ;C;S;S;N
251010;LEY 50/90 Y NORMAS POSTERIORES          ;C;S;S;N
2515;INTERESES SOBRE CESANTIAS               ;C;S;N;N
251505;INTERESES SOBRE CESANTIAS               ;C;S;S;S
2520;PRIMA DE SERVICIOS                      ;C;S;N;N
2525;VACACIONES CONSOLIDADAS                 ;C;S;N;N
252505;VACACIONES                              ;C;S;S;S
2530;PRESTACIONES EXTRALEGALES               ;C;S;N;N
253015;DOTACION Y SUMINISTROS A TRABAJADORES   ;C;S;S;N
26;PASIVOS ESTIMADOS Y PROVISIONES         ;C;S;N;N
2605;PARA COSTOS Y GASTOS                    ;C;S;N;N
260535;SERVICIOS PUBLICOS                      ;C;S;S;N
2610;PARA OBLIGACIONES LABORALES             ;C;S;N;N
261005;CESANTIAS                               ;C;S;S;N
261010;INTERESES SOBRE CESANTIAS               ;C;S;S;N
261015;VACACIONES                              ;C;S;S;N
261020;PRIMA DE SERVICIOS                      ;C;S;S;N
2615;PARA OBLIGACIONES FISCALES              ;C;S;N;N
261505;DE RENTA Y COMPLEMENTARIOS              ;C;S;S;N
261510;DE INDUSTRIA Y COMERCIO                 ;C;S;S;N
28;OTROS PASIVOS                           ;C;S;N;N
2805;ANTICIPOS Y AVANCES RECIBIDOS           ;C;S;N;N
280505;DE CLIENTES                             ;C;S;S;N
280510;SOBRE CONTRATOS                         ;C;S;S;N
280595;OTROS                                   ;C;S;N;N
28059501;CONSIGNACIONES NO IDENTIFICADAS         ;C;S;S;N
28059502;ANTICIPO EMPLEADOS                      ;C;S;S;N
2810;DEPOSITOS RECIBIDOS                     ;C;S;N;N
281005;OTROS                                   ;C;S;S;N
281030;DE MANEJO DE BIENES                     ;C;S;S;N
2815;INGRESOS RECIBIDOS PARA TERCEROS        ;C;N;N;N
281505;VALORES RECIBIDOS PARA TERCEROS-SISTECRE;C;S;S;N
3;PATRIMONIO                              ;C;S;N;N
31;CAPITAL                                 ;C;S;N;N
3105;Capital suscrito y pagado               ;C;S;N;N
310505;CAPITAL AUTORIZADO                      ;C;S;S;N
3115;CUOTAS O PARTES DE INTERES SOCIAL       ;C;S;N;N
311505;CUOTAS O PARTES DE INTERES SOCIAL       ;C;S;S;N
33;RESERVAS                                ;C;S;N;N
3305;RESERVAS OBLIGATORIAS                   ;C;S;N;N
330505;RESERVA LEGAL                           ;C;S;S;N
3315;RESERVAS OCASIONALES                    ;C;S;N;N
331535;PARA CAPITAL DE TRABAJO                 ;C;S;S;N
34;REVALORIZACION DEL PATRIMONIO           ;C;S;N;N
3405;Ajustes por inflacion                   ;C;S;N;N
340505;DE CAPITAL SOCIAL                       ;C;S;S;N
340510;CUOTAS O PARTES DE INTERES SOCIAL       ;C;S;S;N
340515;DE RESERVAS                             ;C;S;S;N
340520;DE RESULTADOS DE EJERCICIOS ANTERIORES  ;C;S;S;N
3410;DE SUPERAVIT DE CAPITAL                 ;C;S;N;N
3415;DE RESERVAS                             ;C;S;N;N
341505;OBLIGATORIAS                            ;C;S;S;N
341510;ESTATUTARIAS                            ;C;S;S;N
36;RESULTADOS DEL EJERCICIO                ;C;S;N;N
3605;UTILIDAD DEL EJERCICIO                  ;C;S;N;N
360505;UTILIDAD DEL EJERCICIO                  ;C;S;S;N
3610;PERDIDA DEL EJERCICIO                   ;C;S;N;N
361001;PERDIDA DEL EJERCICIO                   ;C;S;S;N
37;UTILIDADES ACUMULADAS                   ;C;S;N;N
3705;UTILIDADES ACUMULADAS                   ;C;S;N;N
370505;UTILIDADES ACUMULADAS                   ;C;S;S;N
3710;PERDIDAS ACUMULADAS                     ;C;S;N;N
371005;PERDIDAS ACUMULADAS                     ;C;S;S;N
38;SUPERAVIT POR VALORIZACIONES            ;C;S;N;N
3805;DE INVERSIONES                          ;C;S;N;N
380505;Acciones                                ;C;S;S;N
3810;De propiedades, planta y equipo         ;C;S;N;N
381004;Terrenos                                ;C;S;S;N
381008;Construcciones y edificaciones          ;C;S;S;N
381016;Equipo de oficina                       ;C;S;S;N
381020;Equipo de computacion y comunicacion    ;C;S;S;N
4;INGRESOS                                ;C;S;N;N
41;OPERACIONALES                           ;C;S;N;N
4135;COMERCIO AL POR MAYOR Y POR MENOR       ;C;S;N;N
413542;VENTA  DE MATERIALES PARA CONSTRUCC Y OR;C;S;N;N
41354201;VENTAS EXCLUIDAS                        ;C;S;S;N
41354202;VENTAS GRAVADAS DEL 5%                  ;C;S;S;N
41354203;VENTAS GRAVADAS DEL 19%                 ;C;S;S;N
4175;DEVOLUCIONES EN VENTAS                  ;D;S;N;N
417501;DEVOLUCIONES EN VENTAS                  ;D;S;S;N
42;NO OPERACIONALES                        ;C;S;N;N
4210;FINANCIEROS                             ;C;S;N;N
421005;INTERESES                               ;C;S;N;N
42100501;RENDIMIENTOS CUENTAS DE AHORRO          ;C;S;S;N
42100502;DESCUENTOS ARRIENDO                     ;C;S;S;N
421025;FINANCIACION                            ;C;S;S;N
421040;DESCUENTOS COMERCIALES CONDICIONADOS    ;C;S;S;N
421099;AJUSTES POR INFLACION                   ;C;S;S;N
4230;HONORARIOS                              ;C;S;N;N
423005;REVISORIA FISCAL                        ;C;S;S;N
4245;UTILIDAD EN VENTA DE PROPIEDADES PLANTA ;C;S;N;N
424516;CONTRUCCIONES Y EDIFICACIONES           ;C;S;S;N
424520;MAQUINARIA Y EQUIPO                     ;C;S;S;N
424524;EQUIPO DE OFICINA                       ;C;S;S;N
424528;EQUIPO DE COMPUTACION Y COMUNICACION    ;C;S;S;N
424540;FLOTA Y EQUIPO DE TRANSPORTE            ;C;S;S;N
4250;RECUPERACIONES                          ;C;S;N;N
425010;SEGUROS                                 ;C;S;S;N
425030;DESCUENTOS CONCEDIDOS                   ;C;S;N;N
42503001;DESCUENTOS CONCEDIDOS                   ;C;S;S;S
425035;REINTEGRO PROVISIONES                   ;C;S;N;N
42503501;REINTEGRO DE COSTO X PROVISION DE PS    ;C;S;S;N
425050;REINTEGRO DE OTROS COSTOS Y GASTOS      ;C;S;S;N
4255;INDEMNIZACIONES                         ;C;S;N;N
425540;POR INCAPACIDADES E.P.S                 ;C;S;S;N
4295;DIVERSOS                                ;C;S;N;N
429505;APROVECHAMIENTOS                        ;C;S;S;N
429551;EXCEDENTES C-10                         ;C;S;S;N
429552;EXCEDENTES CAJA                         ;C;S;S;N
429567;FOTOCOPIAS-UTILES-PAPELERIA             ;C;S;S;N
429581;AJUSTE AL PESO                          ;C;S;S;N
429599;AJUSTES POR INFLACION                   ;C;S;S;N
47;AJUSTES POR INFLACION                   ;C;S;N;N
4705;CORRECCION MONETARIA                    ;C;S;N;N
470515;PROPIEDAD PLANTA Y EQUIPO (CR)          ;C;S;S;N
470525;ACTIVOS DIFERIDOS                       ;C;S;S;N
470530;OTROS ACTIVOS                           ;C;S;S;N
470540;PATRIMONIO                              ;C;S;S;N
470545;DEPRECIACION ACUMULADA                  ;C;S;S;N
470565;INGRESOS OPERACIONALES                  ;C;S;S;N
470570;INGRESOS NO OPERACIONALES               ;C;S;S;N
470575;GASTOS OPERACIONALES                    ;C;S;S;N
470585;GASTOS NO OPERACIONALES                 ;C;S;S;N
470594;COSTO DE PRODUCCION O DE OPERACION      ;C;S;S;N
5;GASTOS                                  ;D;S;N;N
51;OPERACIONALES DE ADMON                  ;D;S;N;N
5105;GASTOS DE PERSONAL                      ;D;S;N;N
510506;SUELDOS                                 ;D;S;S;N
510518;COMISIONES                              ;D;S;S;N
510520;INCAPACIDADES                           ;D;S;S;S
510524;INCAPACIDADES ASUMIDAS                  ;D;S;S;N
